OBJECTID,Community Statistical Area (CSA),CSA2010,2012,2015,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,Allendale/Irvington/S. Hilton,7.75,7.526315789,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,Beechfield/Ten Hills/West Hills,15.58333333,10.4,47882527.7110596,37524.9505334171
3,Belair-Edison,Belair-Edison,10.32608696,8.227272727,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,Brooklyn/Curtis Bay/Hawkins Point,8.58823529,8.793103448,176077742.748718,150987.703638772
5,Canton,Canton,16.9,15.2,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,Cedonia/Frankford,12.33333333,8.956521739,71541340.3063965,39962.5498347165
7,Cherry Hill,Cherry Hill,8.78571429,7.875,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,Chinquapin Park/Belvedere,15.25,8.666666667,21022590.1307373,21705.411630344
9,Claremont/Armistead,Claremont/Armistead,7.35,6.545454545,61243774.4211426,40104.415980189
10,Clifton-Berea,Clifton-Berea,8.78125,8.15,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,Cross-Country/Cheswolde,0,0,38222018.3164673,26788.3018783838
12,Dickeyville/Franklintown,Dickeyville/Franklintown,0,2,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,Dorchester/Ashburton,9.95833333,7.733333333,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,Downtown/Seton Hill,6.70588235,8.931818182,20736554.4064941,21565.859394559
15,Edmondson Village,Edmondson Village,6.42857143,7.166666667,23563061.0443115,21504.551357829
16,Fells Point,Fells Point,10.2,11.25,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,Forest Park/Walbrook,7.83333333,9.9375,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,Glen-Fallstaff,10.29310345,9.145833333,46995477.4781494,48549.0046179293
19,Greater Charles Village/Barclay,Greater Charles Village/Barclay,15.32608696,10.87931034,27051213.4559937,26454.2692113332
20,Greater Govans,Greater Govans,8.90909091,9.666666667,22698495.7178955,22982.125714974
21,Greater Mondawmin,Greater Mondawmin,13.95454545,9.730769231,33663448.2791138,31136.7318903515
22,Greater Roland Park/Poplar Hill,Greater Roland Park/Poplar Hill,11.75,8.214285714,56688145.1790161,39862.7497953118
23,Greater Rosemont,Greater Rosemont,6.86764706,7.512820513,42204384.5406494,32559.0762211491
24,Greenmount East,Greenmount East,9.575,10.18421053,19072287.8240967,20797.4734578598
25,Hamilton,Hamilton,8.84375,7.961538462,45191100.5593872,27712.1110915054
26,Harbor East/Little Italy,Harbor East/Little Italy,11.76923077,10.39285714,10215859.0836182,18552.4075815937
27,Harford/Echodale,Harford/Echodale,9.91666667,8.653846154,65360039.1698608,40019.1854001996
28,Highlandtown,Highlandtown,13.93333333,13.88888889,11684191.1186523,14976.1238513698
29,Howard Park/West Arlington,Howard Park/West Arlington,10.2,9.076923077,63262430.0730591,36034.4984469719
30,Inner Harbor/Federal Hill,Inner Harbor/Federal Hill,12.42857143,8.5,24995836.2615967,43415.0595478862
31,Lauraville,Lauraville,11.5,9.25,49665744.2354736,34419.676527973
32,Loch Raven,Loch Raven,15.3125,10.5,44147812.3265381,29314.3346718286
33,Madison/East End,Madison/East End,10.08695652,9.711538462,8897845.19189453,13120.1587193642
34,Medfield/Hampden/Woodberry/Remington,Medfield/Hampden/Woodberry/Remington,10.425,9.727272727,62441489.2398071,43152.625699222
35,Midtown,Midtown,13,11.17391304,23823949.9294434,25020.0969698082
36,Midway/Coldstream,Midway/Coldstream,8.02272727,9.145833333,17884471.2862549,22767.8274161904
37,Morrell Park/Violetville,Morrell Park/Violetville,10.4375,9.136363636,67470845.9901123,44412.745130342
38,Mount Washington/Coldspring,Mount Washington/Coldspring,24.75,28.5,56943058.6497192,38539.7661484899
39,North Baltimore/Guilford/Homeland,North Baltimore/Guilford/Homeland,7.52941176,8,74923987.6937256,42904.2221443544
40,Northwood,Northwood,8.85714286,9.142857143,52743271.7706299,38889.8945908861
41,Oldtown/Middle East,Oldtown/Middle East,8.39285714,8.884615385,24585968.2341919,23866.3281788863
42,Orangeville/East Highlandtown,Orangeville/East Highlandtown,8.61904762,8.944444444,89894372.2113037,47825.8629266244
43,Patterson Park North & East,Patterson Park North & East,12.65,10.8,14507643.2044067,21786.3746601014
44,Penn North/Reservoir Hill,Penn North/Reservoir Hill,7,7.733333333,41059796.6773071,29078.8384985548
45,Pimlico/Arlington/Hilltop,Pimlico/Arlington/Hilltop,9.75,7.97826087,30400962.0054932,24725.9340693612
46,Poppleton/The Terraces/Hollins Market,Poppleton/The Terraces/Hollins Market,8.45454545,10.66666667,9302012.99926758,12334.0275347411
47,Sandtown-Winchester/Harlem Park,Sandtown-Winchester/Harlem Park,9.39393939,9.14,23672092.8682861,20987.1433066354
48,South Baltimore,South Baltimore,18.08333333,14,46353935.4255981,68440.0258266401
49,Southeastern,Southeastern,7.16666667,12.31818182,111251478.472229,102291.480547698
50,Southern Park Heights,Southern Park Heights,11.72222222,10.3,27876227.5908203,24052.221372193
51,Southwest Baltimore,Southwest Baltimore,10.26530612,8.921052632,37766068.8365479,28355.563581391
52,The Waverlies,The Waverlies,15.1,10.8,20383750.5437012,18733.826879757
53,Upton/Druid Heights,Upton/Druid Heights,9.80555556,8.45,16976622.3380127,19389.3078212169
54,Washington Village/Pigtown,Washington Village/Pigtown,9.80555556,9,39343262.0375977,36962.2600947677
55,Westport/Mount Winans/Lakeland,Westport/Mount Winans/Lakeland,14.36666667,11.33333333,45494092.9501953,42573.1244161851
