X,Y,OBJECTID,latitude,longitude,address,storename,in_oz,label,renovationincentiveelig,status,oz_sc,congressionaldistrict_md,congressionaldistrict_usno,md_ld,GlobalID,CSA2010
1433590.408,593360.8781,1,39.295132,-76.571552,"3250 E Fayette St, Baltimore, MD 21224",ALDI,Not in Opportunity Zone,ALDI,Eligible,Open,"Not in OZ, in SC",3RD,2403,46,1261b9fd-1f3e-4fd7-9b44-867abc05c67e,Patterson Park North & East
1439471.618,608922.5307,2,39.337778,-76.550501,"4212 Frankford Ave, Baltimore, MD 21206",ALDI,Not in Opportunity Zone,ALDI,Eligible,Open,"Not in OZ, in SC",2ND,2402,45,377545cc-c33a-4c44-b1fb-052b70c22c70,Cedonia/Frankford
1403976.592,607875.3923,3,39.335316,-76.676006,"3601 W Cold Spring Ln, Baltimore, MD 21215",ALDI,Not in Opportunity Zone,ALDI,Eligible,Open,"Not in OZ, in SC",7TH,2407,41,5e2d6ac3-6cc9-4fb2-8298-a08947fe5c0e,Dorchester/Ashburton
1407959.642,580190.4513,4,39.25911,-76.66235,"3140 Washington Blvd, Baltimore, MD 21230",ALDI,Not in Opportunity Zone,ALDI,Eligible,Open,"Not in OZ, in SC",3RD,2403,40,269aeb76-9615-4212-803b-12740e4ef551,Morrell Park/Violetville
1442247.153,612307.7811,5,39.347034,-76.540628,"5950 Belair Rd, Baltimore, MD 21206",BIRITE,Not in Opportunity Zone,BIRITE,Ineligible,Open,"Not in OZ, in SC",2ND,2402,45,37374784-e40d-4357-a098-6acd03afcd05,Hamilton
1422540.091,603742.4301,6,39.32377,-76.61044,"400 E 29th St, Baltimore, MD 21218",DMG FOODS,Not in Opportunity Zone,DMG FOODS,Eligible,Open,"Not in OZ, in SC",7TH,2407,43,1ed60217-5ec9-4b4f-a56c-8dbf1431065a,Greater Charles Village/Barclay
1421074.613,604723.4026,7,39.326468,-76.6157618,"3117 St Paul St, Baltimore, MD 21218",Streets Market and Café,Not in Opportunity Zone,STREETS MARKET,Eligible,Open,"Not in OZ, in SC",7TH,2407,43,8cdb26d3-9990-4ad3-9add-39946f4b11c8,Greater Charles Village/Barclay
1420794.098,595382.1857,8,39.300746,-76.616727,"7 W Eager St, Baltimore, MD 21201",EDDIE'S OF MT VERNON,Not in Opportunity Zone,EDDIE'S OF MT VERNON,Eligible,Open,"Not in OZ, in SC",7TH,2407,40,acd61835-7fe4-49b6-8b53-c1ef989d761f,Midtown
1415733.984,615430.371,9,39.355974,-76.634243,"5113 Roland Ave, Baltimore, MD 21210",EDDIE'S OF ROLAND PARK,Not in Opportunity Zone,EDDIE'S OF ROLAND P.,Ineligible,Open,Not in Either,3RD,2403,41,51218659-1f55-410c-a21e-456e0df4c30c,Greater Roland Park/Poplar Hill
1410425.295,588839.4809,10,39.282473,-76.655285,"2413 Frederick Ave, Baltimore, MD 21223",FOOD DEPOT,Not in Opportunity Zone,FOOD DEPOT,Eligible,Open,"Not in OZ, in SC",7TH,2407,40,6352bfeb-ce7d-4b2d-948b-a4a78b10b231,Southwest Baltimore
1432429.024,601733.3023,11,39.318133,-76.575518,"2401 Belair Rd, Baltimore, MD 21213",FOOD DEPOT,Not in Opportunity Zone,FOOD DEPOT,Eligible,Open,"Not in OZ, in SC",7TH,2407,45,d59a9450-8111-4127-b78a-bda9d5bd47bb,Belair-Edison
1396933.508,611726.6179,12,39.3459553,-76.7008612,"5700 Wabash Ave, Baltimore, MD 21215",HARVEST FARE,Not in Opportunity Zone,HARVEST FARE,Ineligible,Open,"Not in OZ, in SC",7TH,2407,41,7a77082f-b7d5-4590-83fb-33c3b326a8a1,Howard Park/West Arlington
1415518.408,609143.0066,13,39.337921,-76.635346,"1020 W 41st St, Baltimore, MD 21211",GIANT,Not in Opportunity Zone,GIANT,Ineligible,Open,"Not in OZ, in SC",3RD,2403,40,8e60e4c6-ef84-4025-85b4-260e4e0f587c,Medfield/Hampden/Woodberry/Remington
1441176.205,603792.2578,14,39.32367,-76.544565,"5150 Sinclair Ln, Baltimore, MD 21206",GIANT,Not in Opportunity Zone,GIANT,Ineligible,Open,"Not in OZ, in SC",2ND,2402,45,01dc174f-c4e1-4195-94c3-f50d099d0fd7,Cedonia/Frankford
1423223.166,605224.1686,15,39.32783,-76.608003,"601 E 33rd St, Baltimore, MD 21218",GIANT,Not in Opportunity Zone,GIANT,Eligible,Open,"Not in OZ, in SC",7TH,2407,43,4c8af457-42b4-4547-b156-570ad942c0bc,The Waverlies
1398378.301,592753.3894,16,39.293852,-76.695976,"4624 Edmondson Ave, Baltimore, MD 21229",GIANT,Not in Opportunity Zone,GIANT,Eligible,Open,"Not in OZ, in SC",7TH,2407,41,d6ca824f-a57a-46d8-a81b-57d721eaf71a,Beechfield/Ten Hills/West Hills
