OBJECTID,CSA2010,age24_10,age24_15,age24_16,age24_17,age24_18,age24_19,CSA2020,age24_21,age24_22,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,10.2546710242338,10.3171641791045,10.3241441987277,9.003945952,9.1240432511238,9.044488415,Allendale/Irvington/S. Hilton,7.369426752,8.51008961382245,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,10.1598173515982,8.09616536848412,9.27696338786205,9.708012844,9.00405105862569,9.51528826,Beechfield/Ten Hills/West Hills,6.241968056,6.69263456090652,47882527.7110596,37524.9505334171
3,Belair-Edison,10.9152503445108,8.92307692307692,8.80563178618303,8.406214039,8.63654092606006,9.038671493,Belair-Edison,8.312617474,8.20727590948869,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,11.0580636101945,10.0916176671681,9.38132408210465,8.248062016,7.72869397899462,6.93957115,Brooklyn/Curtis Bay/Hawkins Point,7.92214034,8.89833908368772,176077742.748718,150987.703638771
5,Canton,10.4938271604938,8.18273092369478,6.66096308970912,5.84914725,4.21261305910048,4.145957086,Canton,4.060398427,5.04428186368887,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,11.5591968417031,9.58609341378001,8.61689739940484,8.958899457,8.90436668473954,8.18970786,Cedonia/Frankford,8.822817492,8.95577095381608,71541340.3063965,39962.5498347166
7,Cherry Hill,12.1433796634967,10.6544901065449,9.52734471665429,9.134853743,8.17403541691098,7.160321341,Cherry Hill,7.920438304,8.23167120691697,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,11.0624033006704,7.95577454632857,7.36356102758376,7.479289941,6.46004037525234,7.359458829,Chinquapin Park/Belvedere,6.81871345,7.60895738020708,21022590.1307373,21705.411630344
9,Claremont/Armistead,10.4240068035476,10.5616898703793,9.56394695437177,9.099688808,6.9279949690808,5.610043154,Orchard Ridge/Armistead,5.833525478,4.85624546992027,61243774.4211426,40104.415980189
10,Clifton-Berea,10.4618189183715,10.2817068822061,9.6844024154039,8.788912111,7.37801989578398,6.598447424,Clifton-Berea,7.281424395,9.01060070671378,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,9.78978057388369,8.93264840182649,10.2549034011607,9.568378713,9.86209467014535,10.39095411,Cross-Country/Cheswolde,7.709069051,7.22856306701785,38222018.3164673,26788.3018783839
12,Dickeyville/Franklintown,11.7044623262619,9.67913020418987,10.3003087285995,10.02412222,8.00207846193816,10.60838446,Dickeyville/Franklintown,9.495047113,9.36645962732919,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,9.58764636008824,9.14193383791139,8.92438942790231,6.728299949,7.92762870378463,9.416380579,Dorchester/Ashburton,7.218033302,8.73282198785554,34118277.1812134,27136.0757115219
