OBJECTID,CSA2010,age65_10,age65_15,age65_16,age65_17,age65_18,age65_19,CSA2020,age65_21,age65_22,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,12.82,13.5385572139303,13.8927597697667,13.7211527,13.9715708905357,14.02948873,Allendale/Irvington/S. Hilton,14.58598726,15.22146,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,10.46,10.6051527860995,10.5304156929396,12.41878874,12.9251700680272,12.58072045,Beechfield/Ten Hills/West Hills,16.23829631,16.72273,47882527.7110596,37524.9505334171
3,Belair-Edison,7.95,8.39384615384616,8.69228015749911,8.912543153,8.53067365019223,9.532839166,Belair-Edison,11.10774268,13.73922,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,7.08,6.30384247230959,5.7964729690662,7.302325581,7.44808786979876,8.834307992,Brooklyn/Curtis Bay/Hawkins Point,8.699134893,9.468025,176077742.748718,150987.703638771
5,Canton,10.94,10.316265060241,10.7064287460279,10.53326928,9.94920084252261,10.36489271,Canton,10.89963203,9.93454,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,8.66,9.40466646976921,10.0056065898995,10.00339674,10.485048171164,11.81192193,Cedonia/Frankford,11.03356463,11.50525,71541340.3063965,39962.5498347166
7,Cherry Hill,8.38,8.19576162041916,8.54986389507548,9.77937531,9.85106133458426,10.49016183,Cherry Hill,11.94616484,11.13348,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,11.45,11.9697151784641,12.3830945897952,12.88757396,14.2619641372758,14.74224399,Chinquapin Park/Belvedere,14.73684211,15.22995,21022590.1307373,21705.411630344
9,Claremont/Armistead,9.5,9.14546327412386,9.85614744886491,8.466573667,8.45823288963421,9.376225971,Orchard Ridge/Armistead,12.34724464,14.9553,61243774.4211426,40104.415980189
10,Clifton-Berea,15.51,15.559253536194,15.6203714253162,15.15784842,17.4680246328754,17.83109857,Clifton-Berea,19.27982992,17.16499,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,19.2,17.2303082191781,18.0709615808418,19.15996287,19.0905702571748,18.63129111,Cross-Country/Cheswolde,18.91201443,16.58619,38222018.3164673,26788.3018783839
12,Dickeyville/Franklintown,8.66,9.12224874038717,9.68285152960988,11.57866524,11.6134060795011,10.96625767,Dickeyville/Franklintown,14.73785939,14.68323,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,16.94,15.8261756952122,16.3934426229508,17.72812875,21.7201293593217,19.3150237,Dorchester/Ashburton,20.38956959,21.36465,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,3.8,4.41400304414003,4.71653168175322,4.990050513,4.25133304510736,4.430462708,Downtown/Seton Hill,4.246641075,4.372983,20736554.4064941,21565.859394559
15,Edmondson Village,16.96,14.7992530345472,15.7567466732993,15.6495098,17.7891837756634,18.54197715,Edmondson Village,20.12746973,21.58686,23563061.0443115,21504.551357829
16,Fells Point,7.71,5.97860289490245,7.26975476839237,7.456045149,7.33964471864695,8.869798059,Fells Point,9.028979239,10.68865,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,14.32,15.3482751043727,14.4815501958359,15.06498622,15.1836734693877,16.28716598,Forest Park/Walbrook,14.85121731,13.40654,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,17.88,17.7997456353336,17.0695225559411,17.70767877,17.542420992872,19.57874271,Glen-Fallstaff,19.11951566,17.80842,46995477.4781494,48549.0046179292
19,Greater Charles Village/Barclay,7.25,7.07900459048079,7.84135634271874,7.983373067,7.50920099726938,7.744665195,Greater Charles Village/Barclay,8.063340621,9.632696,27051213.4559937,26454.2692113332
