CSA2010,income_boolean,median_income,vehicle_boolean,percnt_no_vehicle,has_store,address_1,address_2,address_3,address_4,latitude_1,latitude_2,latitude_3,latitude_4,longitude_1,longitude_2,longitude_3,longitude_4,storename_1,storename_2,storename_3,storename_4,hfai15,hfai_category,hfai_boolean,number_criteria_met,priority_level
Allendale/Irvington/S. Hilton,1,46005.6,1,34.90249848,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.526315789,Low,1,3,Medium
Beechfield/Ten Hills/West Hills,0,59248.52,0,12.6610306,1,"4624 Edmondson Ave, Baltimore, MD 21229",NA,NA,NA,39.293852,NA,NA,NA,-76.695976,NA,NA,NA,GIANT,NA,NA,NA,10.4,Medium,0,1,Low
Belair-Edison,1,51016.16,0,22.75689223,1,"2401 Belair Rd, Baltimore, MD 21213","4001 Erdman Ave, Baltimore, MD 21213",NA,NA,39.318133,39.313959,NA,NA,-76.575518,-76.568914,NA,NA,FOOD DEPOT,SAVE A LOT,NA,NA,8.227272727,Low,1,3,Medium
Brooklyn/Curtis Bay/Hawkins Point,1,40253.11,0,22.90106425,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.793103448,Low,1,2,Low
Canton,0,149999,0,5.452196382,1,"2610 Boston St, Baltimore, MD 21224",NA,NA,NA,39.280566,NA,NA,NA,-76.578835,NA,NA,NA,SAFEWAY,NA,NA,NA,15.2,Medium,0,1,Low
Cedonia/Frankford,1,53746.33,0,20.54794521,1,"4212 Frankford Ave, Baltimore, MD 21206","5150 Sinclair Ln, Baltimore, MD 21206",NA,NA,39.337778,39.32367,NA,NA,-76.550501,-76.544565,NA,NA,ALDI,GIANT,NA,NA,8.956521739,Low,1,3,Medium
Cherry Hill,1,27244,1,47.5031211,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.875,Low,1,3,Medium
Chinquapin Park/Belvedere,0,64335.15,0,11.9285498,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.666666667,Low,1,1,Low
Claremont/Armistead,1,44906.43,1,34.39222893,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.545454545,Low,1,3,Medium
Clifton-Berea,1,39964.76,1,32.85907859,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.15,Low,1,3,Medium
Cross-Country/Cheswolde,0,71626.32,0,9.704395177,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Low,1,1,Low
Dickeyville/Franklintown,1,54743.46,0,29.47761194,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Low,1,2,Low
Dorchester/Ashburton,1,54880.18,0,26.6680788,1,"3601 W Cold Spring Ln, Baltimore, MD 21215",NA,NA,NA,39.335316,NA,NA,NA,-76.676006,NA,NA,NA,ALDI,NA,NA,NA,7.733333333,Low,1,3,Medium
Downtown/Seton Hill,0,59957.82,1,31.67305236,1,"222 N Charles St, Baltimore, MD 21201",NA,NA,NA,39.291977,NA,NA,NA,-76.615734,NA,NA,NA,STREETS MARKET & CAFÉ,NA,NA,NA,8.931818182,Low,1,3,Medium
Edmondson Village,1,52033.13,0,26.97066101,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.166666667,Low,1,2,Low
Fells Point,0,108242.9,0,10.08540057,1,"711 S Central Ave, Baltimore, MD 21202",NA,NA,NA,39.284025,NA,NA,NA,-76.599392,NA,NA,NA,WHOLE FOODS,NA,NA,NA,11.25,Medium,0,1,Low
Forest Park/Walbrook,0,58308.23,1,35.46192671,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9375,Medium,0,1,Low
Glen-Fallstaff,1,53476.61,0,25.65938865,1,"6620 Reisterstown Rd, Baltimore, MD 21215","6836 Reisterstown Rd, Baltimore, MD 21215",NA,NA,39.355536,39.3598552,NA,NA,-76.707344,-76.7089507,NA,NA,GIANT,SAVE A LOT,NA,NA,9.145833333,Low,1,3,Medium
Greater Charles Village/Barclay,1,48704.21,1,38.6474188,1,"400 E 29th St, Baltimore, MD 21218","3117 St Paul St, Baltimore, MD 21218","2401 N Charles St, Baltimore, MD 21218","2008 Maryland Ave, Baltimore, MD 21218",39.32377,39.326468,39.316712,39.312434,-76.61044,-76.6157618,-76.616296,-76.618406,DMG FOODS,Streets Market and Café,SAFEWAY,SAVE A LOT,10.87931034,Medium,0,3,Medium
Greater Govans,1,54125.98,1,32.56513026,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.666666667,Medium,0,2,Low
Greater Mondawmin,1,46825.03,1,36.41399417,1,"2000 Gwynns Falls Pkwy, Baltimore, MD 21216",NA,NA,NA,39.316925,NA,NA,NA,-76.652274,NA,NA,NA,SHOPPERS,NA,NA,NA,9.730769231,Medium,0,3,Medium
Greater Roland Park/Poplar Hill,0,131861.1,0,6.752215093,1,"5113 Roland Ave, Baltimore, MD 21210",NA,NA,NA,39.355974,NA,NA,NA,-76.634243,NA,NA,NA,EDDIE'S OF ROLAND PARK,NA,NA,NA,8.214285714,Low,1,2,Low
Greater Rosemont,1,35167.29,1,46.40855833,1,"3427 Clifton Ave, Baltimore, MD 21216",NA,NA,NA,39.310148,NA,NA,NA,-76.675565,NA,NA,NA,SAVE A LOT,NA,NA,NA,7.512820513,Low,1,4,High
Greenmount East,1,37710.73,1,43.76657825,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.18421053,Medium,0,2,Low
Hamilton,0,82639.61,0,13.04534709,1,"5950 Belair Rd, Baltimore, MD 21206",NA,NA,NA,39.347034,NA,NA,NA,-76.540628,NA,NA,NA,BIRITE,NA,NA,NA,7.961538462,Low,1,2,Low
Harbor East/Little Italy,0,88813.26,0,25.93722755,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.39285714,Medium,0,0,Low
Harford/Echodale,0,74613.14,0,10.06234595,1,"2905 Hamilton Ave, Baltimore, MD 21214",NA,NA,NA,39.352846,NA,NA,NA,-76.562981,NA,NA,NA,HARVEST FARE,NA,NA,NA,8.653846154,Low,1,2,Low
Highlandtown,0,111475.3,0,14.13242607,1,"3800 E Lombard St, Baltimore, MD 21224","3801 Eastern Ave, Baltimore, MD 21224",NA,NA,39.292222,39.28614,NA,NA,-76.565215,-76.56484,NA,NA,HAZLO INTERNATIONAL FOODS,THE MARKETS AT HIGHLANDTOWN,NA,NA,13.88888889,Medium,0,1,Low
Howard Park/West Arlington,1,55609.95,0,9.760858956,1,"5700 Wabash Ave, Baltimore, MD 21215","4601 Liberty Heights Ave, Baltimore, MD 21207",NA,NA,39.3459553,39.330367,NA,NA,-76.7008612,-76.69525,NA,NA,HARVEST FARE,SHOPRITE,NA,NA,9.076923077,Low,1,3,Medium
Inner Harbor/Federal Hill,0,111738.9,0,14.37057992,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,Low,1,1,Low
Lauraville,0,81157.39,0,7.710790738,1,"4401 Harford Rd, Baltimore, MD 21214",NA,NA,NA,39.339438,NA,NA,NA,-76.571148,NA,NA,NA,SAFEWAY,NA,NA,NA,9.25,Low,1,2,Low
Loch Raven,1,55639.68,0,17.9960043,1,"5600 The Alameda, Baltimore, MD 21239",NA,NA,NA,39.358104,NA,NA,NA,-76.596149,NA,NA,NA,COMPARE FOODS,NA,NA,NA,10.5,Medium,0,2,Low
Madison/East End,1,44302.42,1,47.39884393,1,"2509 E Monument St, Baltimore, MD 21205",NA,NA,NA,39.29854,NA,NA,NA,-76.581778,NA,NA,NA,SAVE A LOT,NA,NA,NA,9.711538462,Medium,0,3,Medium
Medfield/Hampden/Woodberry/Remington,0,83388.34,0,14.1201768,1,"1020 W 41st St, Baltimore, MD 21211","711 W 40th St, Baltimore, MD 21211",NA,NA,39.337921,39.335916,NA,NA,-76.635346,-76.630342,NA,NA,GIANT,MOMS,NA,NA,9.727272727,Medium,0,1,Low
Midtown,0,65017.01,1,36.5527649,1,"7 W Eager St, Baltimore, MD 21201","250 McMechen St, Baltimore, MD 21217",NA,NA,39.300746,39.307158,NA,NA,-76.616727,-76.628336,NA,NA,EDDIE'S OF MT VERNON,SAVE A LOT,NA,NA,11.17391304,Medium,0,2,Low
Midway/Coldstream,1,39943.46,1,35.72507553,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.145833333,Low,1,3,Medium
Morrell Park/Violetville,1,46719.66,1,30.39513678,1,"3140 Washington Blvd, Baltimore, MD 21230",NA,NA,NA,39.25911,NA,NA,NA,-76.66235,NA,NA,NA,ALDI,NA,NA,NA,9.136363636,Low,1,4,High
Mount Washington/Coldspring,0,98095.78,0,16.32222691,1,"1330 Smith Ave, Baltimore, MD 21209",NA,NA,NA,39.368344,NA,NA,NA,-76.649804,NA,NA,NA,WHOLE FOODS,NA,NA,NA,28.5,High,0,1,Low
North Baltimore/Guilford/Homeland,0,138608,0,15.89303734,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,Low,1,1,Low
Northwood,0,68537.56,0,15.36262951,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.142857143,Low,1,1,Low
Oldtown/Middle East,1,29632.91,1,59.27633095,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.884615385,Low,1,3,Medium
Orangeville/East Highlandtown,0,63214.07,0,16,1,"6500 Eastern Ave, Baltimore, MD 21224",NA,NA,NA,39.289303,NA,NA,NA,-76.535891,NA,NA,NA,COMPARE FOODS,NA,NA,NA,8.944444444,Low,1,2,Low
Patterson Park North & East,0,88015.78,0,13.95121951,1,"3250 E Fayette St, Baltimore, MD 21224",NA,NA,NA,39.295132,NA,NA,NA,-76.571552,NA,NA,NA,ALDI,NA,NA,NA,10.8,Medium,0,1,Low
Penn North/Reservoir Hill,1,36730.42,1,35.13093653,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.733333333,Low,1,3,Medium
Pimlico/Arlington/Hilltop,1,42006.9,1,39.52721275,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.97826087,Low,1,3,Medium
Poppleton/The Terraces/Hollins Market,1,24514.72,1,54.68554769,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.66666667,Medium,0,2,Low
Sandtown-Winchester/Harlem Park,1,28142.23,1,56.06235566,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.14,Low,1,3,Medium
South Baltimore,0,143474.3,0,2.988987939,1,"1801 Whetstone Way, Baltimore, MD 21230","857 E Fort Ave, Baltimore, MD 21230",NA,NA,39.267604,39.270428,NA,NA,-76.599913,-76.603809,NA,NA,HARRIS TEETER,SHOPPERS,NA,NA,14,Medium,0,1,Low
Southeastern,1,47081.43,0,26.13727055,1,"3799 Boston St, Baltimore, MD 21224","3800 Boston St, Baltimore, MD 21224",NA,NA,39.2748538,39.278316,NA,NA,-76.5647753,-76.563937,NA,NA,HARRIS TEETER,SPROUTS FARMERS MARKET,NA,NA,12.31818182,Medium,0,2,Low
Southern Park Heights,1,42480.64,1,40.9406495,1,"2705 W Cold Spring Ln, Baltimore, MD 21215",NA,NA,NA,39.338767,NA,NA,NA,-76.666779,NA,NA,NA,SAVE A LOT,NA,NA,NA,10.3,Medium,0,3,Medium
Southwest Baltimore,1,35353.63,1,48.36389788,1,"2413 Frederick Ave, Baltimore, MD 21223",NA,NA,NA,39.282473,NA,NA,NA,-76.655285,NA,NA,NA,FOOD DEPOT,NA,NA,NA,8.921052632,Low,1,4,High
The Waverlies,1,53681.8,0,29.49110975,1,"601 E 33rd St, Baltimore, MD 21218",NA,NA,NA,39.32783,NA,NA,NA,-76.608003,NA,NA,NA,GIANT,NA,NA,NA,10.8,Medium,0,2,Low
Upton/Druid Heights,1,25326.02,1,51.39120095,1,"1101 Pennsylvania Ave, Baltimore, MD 21201",NA,NA,NA,39.299086,NA,NA,NA,-76.628636,NA,NA,NA,SAVE A LOT,NA,NA,NA,8.45,Low,1,4,High
Washington Village/Pigtown,0,64416.37,0,26.70667667,1,"1205 W Pratt St, Baltimore, MD 21223",NA,NA,NA,39.284627,NA,NA,NA,-76.635697,NA,NA,NA,PRICERITE,NA,NA,NA,9,Low,1,2,Low
Westport/Mount Winans/Lakeland,1,36676.49,1,32.16682646,1,"2159 W Patapsco Ave, Baltimore, MD 21230",NA,NA,NA,39.250076,NA,NA,NA,-76.646427,NA,NA,NA,LA MART,NA,NA,NA,11.33333333,Medium,0,3,Medium
