CSA2010,income_boolean,median_income,vehicle_boolean,percnt_no_vehicle,has_store,address_1,address_2,address_3,address_4,latitude_1,latitude_2,latitude_3,latitude_4,longitude_1,longitude_2,longitude_3,longitude_4,storename_1,storename_2,storename_3,storename_4,hfai15,hfai_category,hfai_boolean,number_criteria_met,priority_level
Allendale/Irvington/S. Hilton,1,38535.5621761658,1,33.0039525691699,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.526315789,Low,1,3,Medium
Beechfield/Ten Hills/West Hills,0,58055.3066132264,0,20.0493171471927,1,"4624 Edmondson Ave, Baltimore, MD 21229",NA,NA,NA,39.293852,NA,NA,NA,-76.695976,NA,NA,NA,GIANT,NA,NA,NA,10.4,Medium,0,1,Low
Belair-Edison,1,42633.6195121951,1,34.0849673202614,1,"2401 Belair Rd, Baltimore, MD 21213","4001 Erdman Ave, Baltimore, MD 21213",NA,NA,39.318133,39.313959,NA,NA,-76.575518,-76.568914,NA,NA,FOOD DEPOT,SAVE A LOT,NA,NA,8.227272727,Low,1,4,High
Brooklyn/Curtis Bay/Hawkins Point,1,39936.5125,1,31.469172587669,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.793103448,Low,1,3,Medium
Canton,0,116911.088235294,0,4.68305304010349,1,"2610 Boston St, Baltimore, MD 21224",NA,NA,NA,39.280566,NA,NA,NA,-76.578835,NA,NA,NA,SAFEWAY,NA,NA,NA,15.2,Medium,0,1,Low
Cedonia/Frankford,1,44159.5452830188,0,21.4098073555166,1,"4212 Frankford Ave, Baltimore, MD 21206","5150 Sinclair Ln, Baltimore, MD 21206",NA,NA,39.337778,39.32367,NA,NA,-76.550501,-76.544565,NA,NA,ALDI,GIANT,NA,NA,8.956521739,Low,1,3,Medium
Cherry Hill,1,25132.3264705882,1,52.6280991735537,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.875,Low,1,3,Medium
Chinquapin Park/Belvedere,0,55713.7142857142,0,13.3007931665649,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.666666667,Low,1,1,Low
Claremont/Armistead,1,34885.3863636363,0,27.0419426048565,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.545454545,Low,1,2,Low
Clifton-Berea,1,31291.1324503311,1,48.6129032258064,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.15,Low,1,3,Medium
Cross-Country/Cheswolde,0,55673.5898876404,0,15.014605647517,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Low,1,1,Low
